book1	chapter1	verse1	book2	chapter2	verse2	similarity
Leviticus	25	27	Leviticus	25	28	61
Josua	1	10	Ezechiel	34	1	63
Exodus	33	20	Deuteronomium	1	43	65
Reges_I	16	6	Chronica_II	33	20	82
Numeri	14	11	Jeremia	33	12	61
Genesis	7	6	Judices	8	13	60
Exodus	8	19	Jesaia	14	28	64
Exodus	4	5	Ezechiel	37	27	60
Exodus	36	21	Exodus	37	6	63
Psalmi	69	9	Proverbia	3	8	60
Exodus	33	16	Deuteronomium	7	6	69
Iob	40	25	Proverbia	2	10	63
Genesis	2	6	Exodus	34	33	60
Ezechiel	12	17	Sacharia	4	8	100
Proverbia	4	5	Proverbia	21	30	62
Numeri	4	1	Jeremia	11	1	72
Deuteronomium	20	11	Deuteronomium	26	18	60
Leviticus	6	1	Jeremia	24	4	79
Jesaia	45	17	Ezechiel	28	19	62
Reges_I	22	25	Jeremia	38	13	60
Reges_II	24	5	Chronica_II	25	26	70
Deuteronomium	18	7	Psalmi	106	48	60
Leviticus	15	1	Ezechiel	28	1	67
Numeri	34	20	Proverbia	19	19	60
Leviticus	8	1	Deuteronomium	1	32	60
Deuteronomium	15	4	Deuteronomium	26	1	71
Leviticus	18	24	Samuel_I	2	24	60
Genesis	5	4	Genesis	5	18	65
Reges_I	21	28	Ezechiel	25	1	78
Numeri	16	20	Ezechiel	24	20	68
Chronica_I	25	18	Chronica_I	25	24	73
Esra	2	4	Nehemia	7	22	71
Leviticus	11	20	Chronica_I	4	33	62
Jeremia	15	20	Chronica_II	32	14	61
Psalmi	102	7	Psalmi	109	30	63
Samuel_II	6	9	Reges_II	3	6	61
Ezechiel	3	1	Ezechiel	37	11	62
Leviticus	18	24	Jeremia	10	7	64
Leviticus	7	22	Numeri	16	23	100
Reges_I	13	20	Micha	4	6	62
Exodus	32	33	Chronica_I	21	27	66
Samuel_II	1	3	Ezechiel	21	5	60
Numeri	3	2	Iob	38	12	60
Deuteronomium	12	4	Psalmi	139	22	70
Chronica_I	4	24	Chronica_I	4	26	62
Exodus	4	2	Samuel_I	17	29	64
Exodus	35	12	Exodus	35	13	64
Nehemia	13	17	Chronica_II	5	9	62
Numeri	7	45	Numeri	7	81	100
Deuteronomium	1	33	Josua	6	9	60
Exodus	1	20	Iob	28	14	62
Samuel_I	14	31	Hosea	1	5	62
Numeri	17	2	Numeri	25	11	61
Numeri	1	10	Numeri	7	59	62
Jeremia	1	11	Jeremia	49	34	60
Reges_II	22	15	Ezechiel	12	10	61
Psalmi	5	1	Psalmi	47	1	72
Numeri	31	14	Chronica_II	19	9	62
Genesis	7	14	Leviticus	11	22	61
Exodus	30	22	Jesaia	8	5	61
Numeri	27	6	Sacharia	7	8	70
Reges_I	1	26	Chronica_I	17	4	60
Josua	21	7	Chronica_I	6	47	72
Genesis	19	21	Reges_II	22	16	61
Iob	35	4	Esra	2	8	61
Nehemia	10	34	Chronica_II	31	3	60
Exodus	1	16	Reges_I	6	19	60
Sacharia	12	5	Chronica_II	34	32	60
Ezechiel	11	2	Jona	1	9	60
Leviticus	24	1	Chronica_II	33	10	78
Reges_I	12	22	Reges_I	21	17	74
Daniel	6	22	Chronica_I	16	20	61
Judices	6	10	Reges_II	22	15	64
Samuel_I	13	9	Chronica_II	11	15	60
Proverbia	3	27	Chronica_II	33	17	61
Numeri	25	13	Deuteronomium	29	11	60
Numeri	6	22	Psalmi	89	53	69
Exodus	4	23	Samuel_I	17	9	60
Psalmi	119	98	Proverbia	13	1	60
Exodus	13	1	Ezechiel	12	1	79
Jeremia	48	42	Psalmi	71	17	68
Reges_I	9	14	Psalmi	18	17	62
Leviticus	21	24	Psalmi	125	4	62
Genesis	41	28	Samuel_II	7	25	60
Samuel_I	3	4	Ezechiel	28	20	65
Samuel_II	16	17	Jona	1	11	60
Sacharia	2	1	Sacharia	2	5	62
Deuteronomium	32	45	Reges_I	11	37	61
Deuteronomium	8	6	Jeremia	26	4	61
Iob	12	8	Proverbia	4	13	60
Reges_I	16	27	Reges_II	10	34	87
Reges_II	12	2	Reges_II	24	10	61
Numeri	14	26	Reges_I	5	16	62
Numeri	26	60	Chronica_I	7	18	62
Numeri	16	23	Ezechiel	21	1	79
Numeri	6	1	Ezechiel	37	15	79
Ezechiel	20	30	Ezechiel	44	6	67
Samuel_I	20	32	Ecclesiastes	2	2	60
Jeremia	31	31	Jeremia	33	14	63
Leviticus	25	7	Samuel_I	25	6	60
Genesis	33	9	Genesis	48	6	60
Iob	33	13	Proverbia	29	19	62
Deuteronomium	4	29	Chronica_II	15	12	72
Jeremia	13	19	Nahum	2	7	64
Reges_I	18	8	Maleachi	1	12	62
Psalmi	112	7	Chronica_II	20	28	60
Leviticus	7	36	Leviticus	10	9	63
Ezechiel	15	1	Psalmi	30	3	60
Exodus	12	40	Numeri	33	1	64
Deuteronomium	28	10	Jesaia	63	8	61
Deuteronomium	31	25	Jeremia	18	1	67
Reges_I	10	2	Chronica_II	9	1	74
Leviticus	22	1	Numeri	4	17	85
Reges_II	21	12	Jeremia	24	5	60
Numeri	27	23	Chronica_II	35	6	66
Reges_I	21	17	Ezechiel	34	1	78
Genesis	48	15	Deuteronomium	29	14	61
Exodus	35	28	Exodus	40	24	60
Numeri	8	10	Ezechiel	28	9	62
Reges_I	1	19	Reges_I	1	32	60
Leviticus	7	28	Numeri	3	44	100
Genesis	30	5	Jeremia	16	1	61
Jeremia	33	23	Ezechiel	6	1	89
Exodus	33	12	Josua	7	7	61
Psalmi	136	3	Psalmi	136	21	69
Jesaia	9	7	Iob	34	35	63
Reges_II	16	12	Jesaia	2	20	60
Numeri	25	16	Ezechiel	11	14	79
