version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 8:1~100%~100%](Leviticus 8)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 12:1~100%~100%](Leviticus 12)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 14:1~100%~100%](Leviticus 14)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 17:1~100%~100%](Leviticus 17)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 18:1~100%~100%](Leviticus 18)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 19:1~100%~100%](Leviticus 19)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 20:1~100%~100%](Leviticus 20)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 21:16~100%~100%](Leviticus 21)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 22:1~100%~100%, 17~100%~100%, 26~100%~100%](Leviticus 22)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 23:1~100%~100%, 9~100%~100%, 23~100%~100%, 26~100%~100%, 33~100%~100%](Leviticus 23)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 24:1~100%~100%, 13~100%~100%](Leviticus 24)
4b	Numeri	35	9	3929	T		!	crossref	[Leviticus 27:1~100%~100%](Leviticus 27)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 1:48~100%~100%](Numeri 1)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 3:5~100%~100%, 11~100%~100%, 44~100%~100%](Numeri 3)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 4:21~100%~100%](Numeri 4)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 5:1~100%~100%, 5~100%~100%, 11~100%~100%](Numeri 5)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 6:1~100%~100%, 22~100%~100%](Numeri 6)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 7:4~x%~91%](Numeri 7)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 8:1~100%~100%, 5~100%~100%, 23~100%~100%](Numeri 8)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 9:9~100%~100%](Numeri 9)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 10:1~100%~100%](Numeri 10)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 13:1~100%~100%](Numeri 13)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 15:1~100%~100%, 17~100%~100%, 37~x%~91%](Numeri 15)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 16:23~100%~100%](Numeri 16)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 17:1~100%~100%, 9~100%~100%, 16~100%~100%](Numeri 17)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 18:25~100%~100%](Numeri 18)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 20:7~100%~100%](Numeri 20)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 25:10~100%~100%, 16~100%~100%](Numeri 25)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 26:52~100%~100%](Numeri 26)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 27:6~x%~91%, 15~100%~x%](Numeri 27)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 28:1~100%~100%](Numeri 28)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 31:1~100%~100%, 25~x%~91%](Numeri 31)
4b	Numeri	35	9	3929	T		!	crossref	[Numeri 34:1~100%~100%, 16~100%~100%](Numeri 34)
4b	Numeri	35	10	3931	T		!	crossref	[Numeri 33:51~100%~98%](Numeri 33)
4b	Psalmi	118	8	6022	T		!	crossref	[Psalmi 118:9~x%~91%](Psalmi 118)
4b	Psalmi	118	9	6025	T		!	crossref	[Psalmi 118:8~x%~91%](Psalmi 118)
4b	Ezechiel	12	15	1102	T		!	crossref	[Ezechiel 30:26~92%~x%](Ezechiel 30)
4b	Ezechiel	12	17	1111	T		!	crossref	[Deuteronomium 2:17~100%~x%](Deuteronomium 2)
4b	Ezechiel	12	17	1111	T		!	crossref	[Reges_I 17:2~100%~100%, 8~100%~100%](Reges_I 17)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 1:4~100%~100%](Jeremia 1)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 2:1~100%~100%](Jeremia 2)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 13:3~x%~91%, 8~100%~100%](Jeremia 13)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 16:1~100%~100%](Jeremia 16)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 18:5~100%~100%](Jeremia 18)
4b	Ezechiel	12	17	1111	T		!	crossref	[Jeremia 24:4~100%~100%](Jeremia 24)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 6:1~100%~100%](Ezechiel 6)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 7:1~100%~100%](Ezechiel 7)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 11:14~100%~100%](Ezechiel 11)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 12:1~100%~100%, 21~100%~100%, 26~100%~100%](Ezechiel 12)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 13:1~100%~100%](Ezechiel 13)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 14:2~100%~100%, 12~100%~100%](Ezechiel 14)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 15:1~100%~100%](Ezechiel 15)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 16:1~100%~100%](Ezechiel 16)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 17:1~100%~100%, 11~100%~100%](Ezechiel 17)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 18:1~100%~100%](Ezechiel 18)
4b	Ezechiel	12	17	1111	T		!	crossref	[Ezechiel 20:2~100%~100%](Ezechiel 20)
