book1	chapter1	verse1	book2	chapter2	verse2	similarity
Numeri	7	23	Numeri	7	77	76
Numeri	19	1	Numeri	31	1	83
Exodus	13	1	Ezechiel	12	26	80
Numeri	3	44	Ezechiel	22	1	80
Leviticus	20	1	Numeri	18	25	100
Leviticus	24	1	Ezechiel	27	1	80
Numeri	17	9	Sacharia	8	1	67
Exodus	16	11	Numeri	31	1	100
Leviticus	20	1	Numeri	17	1	100
Leviticus	19	1	Numeri	10	1	100
Exodus	30	22	Jeremia	29	30	67
Ezechiel	22	23	Sacharia	4	8	100
Numeri	34	1	Jeremia	13	8	80
Numeri	4	21	Ezechiel	27	1	80
Numeri	25	10	Ezechiel	28	11	80
Numeri	5	11	Ezechiel	24	20	80
Leviticus	7	22	Leviticus	8	1	100
Leviticus	22	17	Numeri	3	5	100
Exodus	6	10	Leviticus	5	14	100
Reges_I	14	29	Reges_II	8	23	76
Exodus	30	17	Leviticus	27	1	100
Leviticus	21	16	Ezechiel	13	1	80
Leviticus	6	17	Ezechiel	37	15	80
Leviticus	5	14	Ezechiel	21	23	80
Numeri	26	52	Ezechiel	16	1	80
Numeri	4	21	Ezechiel	12	1	80
Leviticus	7	28	Sacharia	7	8	67
Leviticus	18	1	Jeremia	24	4	80
Jeremia	29	30	Ezechiel	27	1	80
Leviticus	10	8	Jesaia	38	4	67
Ezechiel	27	1	Sacharia	4	8	100
Numeri	19	1	Ezechiel	17	1	67
Exodus	30	22	Sacharia	8	18	67
Exodus	6	10	Numeri	5	5	100
Exodus	25	1	Numeri	3	44	100
Psalmi	8	1	Psalmi	64	1	71
Numeri	8	5	Jeremia	2	1	80
Exodus	30	11	Leviticus	22	26	100
Jeremia	32	6	Ezechiel	12	17	80
Numeri	7	41	Numeri	7	71	76
Psalmi	61	1	Psalmi	69	1	71
Leviticus	23	1	Numeri	13	1	100
Numeri	29	11	Numeri	29	22	85
Leviticus	23	9	Leviticus	24	1	100
Numeri	4	1	Numeri	7	4	67
Numeri	26	52	Ezechiel	20	2	80
